Reference, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Holder DataSheet, Connector
"R120","2 mOhm Thick Film 1% 1W","Resistors_SMD:R_1210_HandSoldering","https://www.rohm.com/datasheet/PMR18EZPFV/pmr-e","Rohm Semiconductor","PMR25HZPFV2L00","RHM.002APCT-ND","digikey","-","",""
"U101","OPA2837IDGKR","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/ds/symlink/opa2837.pdf","Texas Instruments","OPA2837IDGKR","296-49464-1-ND","digikey","-","",""
"R118","330R 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB331V","P330DACT-ND","digikey","-","",""
"R119","330R 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB331V","P330DACT-ND","digikey","-","",""
"R117","10K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB103V","P10KDACT-ND","digikey","-","",""
"R116","10K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB103V","P10KDACT-ND","digikey","-","",""
"C112","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"C114","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"C107","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"Q103","SSM3K329R","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=2157&prodName=SSM3K329R","Toshiba Semiconductor and Storage","SSM3K329R,LF","SSM3K329RLFCT-ND","digikey","-","",""
"Q104","SSM3J334R","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=5579&prodName=SSM3J334R","Toshiba Semiconductor and Storage","SSM3J334R,LF","SSM3J334RLFCT-ND","digikey","-","",""
"R115","1M 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071ML","311-1.00MCRCT-ND","digikey","-","",""
