Reference, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Holder DataSheet, Connector
"Q302","BC856B-13-F","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.diodes.com/assets/Datasheets/ds11207.pdf","Diodes Incorporated","BC856B-13-F","BC856B-13-FDICT-ND","digikey","-","",""
"R301","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"C307","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"L303","15uH 730mA Sat","Inductors_jl:Inductor_1210_HandSoldering","https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=CBC3225T150KR%20%20&u=M","Taiyo Yuden","CBC3225T150KR","587-3066-1-ND","digikey","-","",""
"C305","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"R303","61.9K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB6192V","P61.9KDACT-ND","digikey","-","",""
"R304","20K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB203V","P20KDACT-ND","digikey","-","",""
"C301","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"U306","TPS560200DBVR","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/ds/symlink/tps560200.pdf","Texas Instruments","TPS560200DBVR","296-38559-1-ND","digikey","-","",""
"C304","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"U305","REF2925AIDBZT","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fref2912","Texas Instruments","REF2925AIDBZT","296-13482-1-ND","digikey","-","",""
"C302","0.47uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B474KAFNNNE.jsp","Samsung Electro-Mechanics","CL21B474KAFNNNE","1276-1074-1-ND","digikey","-","",""
"TP304","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP303","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP301","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP305","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP307","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP302","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP306","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"C315","33uF X7R 16V 20%","Capacitors_SMD:C_1812_HandSoldering","https://product.tdk.com/info/en/documents/chara_sheet/C4532X7R1C336M250KC.pdf","TDK Corporation","C4532X7R1C336M250KC","445-3924-1-ND","digikey","-","",""
"Q306","IRFP4321PBF","Transistors_ThroughHole_jl:TO-247-3_Horizontal_TabDown","https://www.infineon.com/dgdl/irfp4321pbf.pdf?fileId=5546d462533600a40153562c4f802011","Infineon Technologies","IRFP4321PBF","IRFP4321PBF-ND","digikey","-","",""
"TR401","FS-10-110-C2","Transformers_ThroughHole_jl:FS10-110-C2","http://catalog.triadmagnetics.com/Asset/FS10-110-C2.pdf","Triad Magnetics","FS10-110-C2","237-1578-ND","digikey","-","",""
"J401","Screw_Terminal_01x02","digikey-footprints:Term_Block_1x2_P5mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1792863.pdf","Phoenix Contact","1792863","277-2518-ND","digikey","-","",""
"R401","5.9K 0 .1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB5901V","P5.9KDACT-ND","digikey","-","",""
"R402","1K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB102V","P1.0KDACT-ND","digikey","-","",""
"C401","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"R405","10K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB103V","P10KDACT-ND","digikey","-","",""
"R406","10K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB103V","P10KDACT-ND","digikey","-","",""
"R404","41.2  0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB4122V","P41.2KDACT-ND","digikey","-","",""
"J402","AudioJack2_SwitchT","Connect_jl:Audio_StereoJack_3.5mm_ASJ-99H-R-HT-T","http://www.adam-tech.com/downloader.php?p=ASJ-99H-X-HT-TR.pdf","Adam Tech","ASJ-99H-R-HT-T/R","2057-ASJ-99H-R-HT-T/RCT-ND","digikey","-","",""
"D401","BAT54S","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://toshiba.semicon-storage.com/info/docget.jsp?did=37137&prodName=TBAT54","Toshiba Semiconductor and Storage","TBAT54S,LM","TBAT54SLMCT-ND","digikey","-","",""
"D402","BAT54S","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://toshiba.semicon-storage.com/info/docget.jsp?did=37137&prodName=TBAT54","Toshiba Semiconductor and Storage","TBAT54S,LM","TBAT54SLMCT-ND","digikey","-","",""
"D501","VS-20ETS12-M3 1200V 1V fwd@10A","Diodes_ThroughHole_jl:Diode_TO_220AC_Horizonal","http://www.vishay.com/docs/96244/vs-20etsm3_vs-20atsm3.pdf","Vishay Semiconductor Diodes Division","VS-20ETS12-M3","VS-20ETS12-M3-ND","digikey","-","",""
"D503","VS-20ETS12-M3 1200V 1V fwd@10A","Diodes_ThroughHole_jl:Diode_TO_220AC_Horizonal","http://www.vishay.com/docs/96244/vs-20etsm3_vs-20atsm3.pdf","Vishay Semiconductor Diodes Division","VS-20ETS12-M3","VS-20ETS12-M3-ND","digikey","-","",""
"D502","VS-20ETS12-M3 1200V 1V fwd@10A","Diodes_ThroughHole_jl:Diode_TO_220AC_Horizonal","http://www.vishay.com/docs/96244/vs-20etsm3_vs-20atsm3.pdf","Vishay Semiconductor Diodes Division","VS-20ETS12-M3","VS-20ETS12-M3-ND","digikey","-","",""
